iter	MultiClass
0	2.119399355
1	1.887393741
2	1.711708168
3	1.559682371
4	1.440035191
5	1.33351618
6	1.242308836
7	1.164944429
8	1.095924073
9	1.034167989
10	0.9794178386
11	0.9305115791
12	0.887571363
13	0.8466340848
14	0.807572058
15	0.7711401965
16	0.7379064476
17	0.7061545882
18	0.6759374051
19	0.6457774693
20	0.6192450048
21	0.5935764662
22	0.5727209588
23	0.5523377109
24	0.5325088616
25	0.5149810186
26	0.497432347
27	0.4804915299
28	0.4654469704
29	0.4506520707
30	0.4356665144
31	0.421649948
32	0.409623213
33	0.3974544633
34	0.3863550231
35	0.3748016163
36	0.3645876039
37	0.3544967722
38	0.344760922
39	0.3355008512
40	0.3268076767
41	0.3188305749
42	0.3116356232
43	0.3039100825
44	0.2968035035
45	0.28922494
46	0.2831154315
47	0.2754350375
48	0.2700229434
49	0.2647118698
50	0.2585194071
51	0.2528095188
52	0.2481460229
53	0.2444548033
54	0.2399599567
55	0.2343895162
56	0.2314438536
57	0.2279044821
58	0.2244472361
59	0.221179446
60	0.2176214553
61	0.2130730723
62	0.211242353
63	0.2077404656
64	0.205220141
65	0.2021260024
66	0.199251571
67	0.1968740999
68	0.194295829
69	0.1907869816
70	0.1886585658
71	0.1883050851
72	0.1866546602
73	0.1856173297
74	0.1836411846
75	0.1811783258
76	0.1785721093
77	0.1768572046
78	0.1755229265
79	0.1742853228
80	0.1711212683
81	0.1707326255
82	0.1696833559
83	0.1675952517
84	0.1672161945
85	0.1670072188
86	0.1668056667
87	0.1659389649
88	0.1642208453
89	0.1627627364
90	0.1608875844
91	0.1601435095
92	0.1595103912
93	0.1593591592
94	0.1592146357
95	0.1586820424
96	0.157275868
97	0.1570014638
98	0.1563812898
99	0.1555568834
100	0.1553114715
101	0.1551948901
102	0.1541116498
103	0.1518146667
104	0.1508810244
105	0.1501748105
106	0.1493077705
107	0.1479911146
108	0.1476443176
109	0.1475830932
110	0.1473079129
111	0.1468509421
112	0.1464636455
113	0.1463953462
114	0.1461593827
115	0.1441905605
116	0.1441136179
117	0.1439681913
118	0.1438257701
119	0.1429768071
120	0.1428347075
121	0.1425348539
122	0.1422837602
123	0.1414132697
124	0.1413337741
125	0.1402059438
126	0.1393003985
127	0.1386438435
128	0.1384319781
129	0.1377588673
130	0.1373742093
131	0.1372551136
132	0.137225726
133	0.1371831065
134	0.1368774292
135	0.1355507637
136	0.1336299806
137	0.1328492843
138	0.1316918889
139	0.1315624333
140	0.1315534402
141	0.131377945
142	0.1312403518
143	0.1304533733
144	0.1293700818
145	0.1281953826
146	0.1272691742
147	0.1271928556
148	0.1269762401
149	0.1263821983
150	0.1256135177
151	0.1250701323
152	0.1246421928
153	0.1244728593
154	0.1243339806
155	0.1230880806
156	0.1226040914
157	0.1211744376
158	0.1197368568
159	0.1190773633
160	0.1185970873
161	0.1185479204
162	0.1179210907
163	0.1173238857
164	0.1172821035
165	0.1172283059
166	0.1171410586
167	0.1171021513
168	0.1170466022
169	0.1169654201
170	0.1160658631
171	0.1157529119
172	0.1151208677
173	0.1147056342
174	0.1142991223
175	0.1142412341
176	0.1142130506
177	0.1140925315
178	0.1136188711
179	0.1129831345
180	0.1122564813
181	0.1122447962
182	0.1121914786
183	0.111316174
184	0.1112640003
185	0.110596369
186	0.1104253994
187	0.1102169623
188	0.1092606516
189	0.1091013105
190	0.1086279792
191	0.1085926626
192	0.1074088392
193	0.1072291976
194	0.106811778
195	0.1066223451
196	0.1063402715
197	0.1062727458
198	0.1061615644
199	0.105682014
200	0.1052691276
201	0.1042913374
202	0.1037749146
203	0.1034745449
204	0.1027901584
205	0.1021508988
206	0.1013683658
207	0.100643528
208	0.1005704761
209	0.1000024553
210	0.09988454784
211	0.09985882339
212	0.0997446695
213	0.09875837625
214	0.09845209959
215	0.09789028082
216	0.09702851716
217	0.09649273942
218	0.09648372367
219	0.09642375873
220	0.09641062812
221	0.09638113432
222	0.09609988508
223	0.09597193154
224	0.09594466383
225	0.09545772669
226	0.09539996067
227	0.09496566053
228	0.09467613052
229	0.09463450894
230	0.094592175
231	0.09452493609
232	0.09448668037
233	0.09446125213
234	0.09356211682
235	0.09349849756
236	0.09347903651
237	0.09327780225
238	0.09244574983
239	0.09225323618
240	0.09141897107
241	0.09058573953
242	0.09026030815
243	0.09004772866
244	0.08955238958
245	0.08931575195
246	0.08902573869
247	0.08877473067
248	0.08873981829
249	0.08815589519
250	0.08806897377
251	0.08794803591
252	0.0874328619
253	0.08738369866
254	0.0869528585
255	0.08693043296
256	0.08673059516
257	0.08671587354
258	0.08592462179
259	0.08566382852
260	0.08563705407
261	0.08561967475
262	0.08542642146
263	0.08541249642
264	0.08482193554
265	0.08460936789
266	0.08438606534
267	0.08394789603
268	0.08362200507
269	0.08350504871
270	0.08338922849
271	0.08330946213
272	0.0832919233
273	0.08327671846
274	0.08304950165
275	0.08303485688
276	0.08251428326
277	0.08222228563
278	0.08214733065
279	0.08192294795
280	0.08150371248
281	0.08093858947
282	0.08051173037
283	0.08007476249
284	0.07982306645
285	0.07974365724
286	0.07966564192
287	0.07965315012
288	0.07949860753
