iter	Passed	Remaining
934	669728	46558
935	670134	45821
936	670565	45086
937	670895	44344
938	671236	43605
939	671563	42865
940	671971	42132
941	672387	41399
942	672810	40668
943	673103	39929
944	673523	39199
945	673932	38469
946	674346	37740
947	674754	37011
948	675086	36279
949	675502	35552
950	675915	34826
951	676318	34100
952	676729	33374
953	677148	32650
954	677561	31926
955	678010	31205
956	678432	30483
957	678818	29760
958	679238	29039
959	679659	28319
960	679949	27594
961	680355	26874
962	680750	26155
963	681163	25437
964	681585	24720
965	681994	24003
966	682337	23285
967	682748	22570
968	683147	21855
969	683559	21141
970	683992	20428
971	684395	19715
972	684741	19001
973	685159	18289
974	685626	17580
975	685992	16868
976	686419	16159
977	686846	15450
978	687217	14741
979	687636	14033
980	688096	13327
981	688545	12620
982	688918	11914
983	689301	11208
984	689705	10503
985	690123	9798
986	690568	9095
987	691007	8392
988	691446	7690
989	691814	6988
990	692235	6286
991	692575	5585
992	692934	4884
993	693244	4184
994	693662	3485
995	694047	2787
996	694422	2089
997	694836	1392
998	695195	695
999	695634	0
